CID,CRPName,Party,DistIDRunFor,FECCandID
N00042248," Ziegler, Edward",R,TX07,H8TX07173
N00040877,"Aarestad, David",D,CO06,H8CO06237
N00040419,"Abatecola, Bill",R,AZ03,H6AZ03245
N00041028,"Abboud, Deedra",D,AZS2,S8AZ00122
N00040725,"Abdulahi, Jamal",D,MN05,H8MN05163
N00041944,"Abel, Kevin",D,GA06,H8GA06377
N00036633,"Abraham, Ralph",R,LA05,H4LA05221
N00041156,"Abrams, John",D,NM01,H8NM01356
N00040686,"Abroms, David",R,GA06,H8GA06302
N00039865,"Acker, Brandon W.",D,NC07,H8NC07093
N00041927,"Ackison, Melissa",R,OHS1,S8OH00094
N00040972,"Adair, Glenn",L,TX06,H8TX06209
N00035451,"Adams, Alma",D,NC12,H4NC12100
N00040808,"Adams, Ann Marie",D,CTS1,S8CT00105
N00037273,"Adams, David",R,FL27,H6FL26017
N00040736,"Adams, Denise Darcel",D,NC05,H8NC05063
N00041964,"Adams, Dion",D,MI04,H8MI04085
N00041029,"Adams, Donald",I,CAS2,S8CA00325
N00041420,"Adams, Kimberly",D,VA10,H8VA10148
N00041289,"Addis, Paul",R,PAS2,S8PA00304
N00041292,"Adeluola, Folasade",D,VTS1,S8VT00117
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098
N00040978,"Adia, Vanessa",D,TX12,H8TX12074
N00041539,"Agnew, Eric",I,WA05,H8WA05185
N00033997,"Aguilar, Pete",D,CA31,H2CA31125
N00042202,"Ahmad, Nina",D,PA01,H8PA01237
N00039752,"Ahmed, Kaisar",D,CA31,H6CA31159
N00040650,"Ahn, Jason",D,CA34,H8CA34217
N00040776,"Ahn, Poga",D,WA08,H8WA08114
N00040654,"Ahn, Robert Lee",D,CA34,H8CA34258
N00041217,"Ainge, Tanner",R,UT03,H8UT03196
N00041939,"Akins, Bill",R,FL17,H8FL17038
N00040917,"Akzam, Johnny",I,MN01,H8MN01246
N00039147,"Albertson, Ed",D,OH12,H6OH12127
N00041821,"Albro, Catherine",D,MI03,H8MI03079
N00041219,"Aldrich, Deborah",R,UT03,H8UT03212
N00040862,"Alemayhu, Ted",3,CA37,H8CA37301
N00041885,"Alexander, Sherrill Kenneth",R,TX35,H8TX35018
N00042055,"Allen, Chad",R,AZ08,H8AZ08141
N00040887,"Allen, Kathleen",D,GA07,H8GA07144
N00040768,"Allen, Kathryn",D,UT03,H8UT03139
N00033720,"Allen, Richard W",R,GA12,H2GA12121
N00041451,"Allen, Samuel",D,FL11,H8FL11106
N00041205,"Allen, Todd",D,TX24,H8TX24103
N00040771,"Alli, Helen",D,VA07,H8VA07060
N00041768,"Allman, Michael",R,CA52,H8CA52136
N00040989,"Allred, Colin",D,TX32,H8TX32098
N00031938,"Amash, Justin",R,MI03,H0MI03126
N00041475,"Amason, Tommy",R,AL02,H8AL02189
N00042135,"Amatul-Wadud, Tahirah",D,MA01,H8MA01050
N00041540,"Amjad, Ayne",R,WV03,H8WV03071
N00031177,"Amodei, Mark",R,NV02,H2NV02395
N00042264,"Andarza, Ivan",R,TX21,H8TX21265
N00041777,"Anderson, Bryan Neil",D,CT03,H8CT03067
N00041674,"Anderson, Jeramey",D,MS04,H8MS04438
N00042186,"Andrei, Linda",D,NY23,H8NY23225
N00042570,"Andreski, Thad",I,AZ04,H8AZ04157
N00027581,"Angle, Sharron",R,NV02,H6NV02172
N00042052,"Angry, Travis",R,AZ08,H8AZ08117
N00040955,"Anthony, Aaron",D,PA12,H8PA12077
N00041380,"Anthony, Stavros",R,NV04,H8NV04026
N00042180,"Anzalone, John",D,NV04,H8NV04034
N00037263,"Applegate, Douglas L",D,CA49,H6CA49102
N00040610,"Aramayo, Vanessa",D,CA34,H6CA34252
N00042048,"Arellano, Sergio",R,AZ03,H8AZ03142
N00033403,"Arnold-Jones, Janice",R,NM01,H8NM01372
N00042286,"Aronoff, Phillip",R,TX29,H8TX29094
N00042089,"Arora, Harry",R,CT04,H8CT04214
N00042556,"Arpaio, Joe",R,AZS2,S8AZ00247
N00041602,"Arredondo-Lynch, Alma",R,TX23,H8TX23113
N00038285,"Arrington, Jodey",R,TX19,H6TX19099
N00041593,"Arrington, Katherine",R,SC01,H8SC01124
N00040704,"Arroyave, Nathan",D,IL16,H8IL16088
N00040716,"Ashby, Joseph",R,KS04,H8KS04153
N00005293,"Ashford, Brad",D,NE02,H4NE02054
N00040378,"Athey, Ted",I,MD06,H6MD06261
N00042373,"Auman, Lee",D,AL04,H8AL04094
N00041359,"Austinson, John Wayne",D,MN01,H8MN01287
N00042425,"Auxier, Randy",3,IL12,H8IL12152
N00041104,"Axne, Cindy",D,IA03,H8IA03124
N00041288,"Ayers, Cynthia",R,PAS2,S8PA00296
N00041034,"Ayyadurai, Shiva",R,MAS1,S8MA00268
N00036877,"Azumah, Joel",I,NY09,H4NY09090
N00041374,"Baake, David",D,NM02,H8NM02131
N00005736,"Babin, Brian",R,TX36,H6TX02079
N00042205,"Bacher, Steve",D,PA08,H8PA08166
N00037049,"Bacon, Donald John",R,NE02,H6NE02125
